state,id,from,to
Essential Energy,CNRGYP,4001000000,4001999999
Essential Energy,CNRGYP,4508000000,4508099999
Ausgrid,ENERGYAP,4102000000,4104999999
Essential Energy,CNRGYP,4204000000,4204999999
Endeavour Energy,INTEGP,4310000000,4319999999
"Essential Energy (formerly Country Energy, NorthPower)",CNRGYP,4407000000,4407999999
TransGrid,TRANSGP,4608100000,4608108999
Power and Water Corporation,PWCLNSP,2500000000,2502999999
Power and Water Corporation,NTLNSP,2503000000,2509999999
ENERGEX Limited,ENERGEXP,3100000000,3199999999
Ergon Energy Corporation Limited,ERGONETP,3000000000,3099999999
,PLINKP,3202000000,3202009999
SA Power Networks,UMPLP,2001000000,2002999999
ElectraNet SA,ETSATP,2102000000,2102009999
TasNetworks DNSP (formerly Aurora Energy),AURORAP,8000000000,8000999999
TasNetworks DNSP,AURORAP,8590200000,8590399999
CitiPower Pty,CITIPP,6102000000,6103999999
Ausnet Services DNSP,EASTERN,6305000000,6306999999
Powercor Australia,POWCP,6203000000,6204999999
Jemena Electricity Networks (Vic) Ltd,SOLARISP,6001000000,6001999999
United Energy Distribution Pty Ltd,UNITED,6407000000,6408999999
,GPUPP,6509000000,6509009999
Western Power,WA,8001000000,8020999999
Horizon Power,WA,8021000000,8021999999
NSW Gas NMIs (& ACT),GAS,5200000000,5299999999
Vic Gas NMIs,GAS,5300000000,5399999999
Qld Gas NMIs,GAS,5400000000,5499999999
SA Gas NMIs,GAS,5500000000,5599999999
WA Gas NMIs,GAS,5600000000,5699999999
Tas Gas NMIs,GAS,5700000000,5799999999
Exempt & Miscellaneous Networks - various,GAS,7102000001,7102999999
Embedded Network Managers - Child NMIs,GAS,7105000000,7106999999
AEMO Reserved block 1,GAS,8801000000,8805999999
AEMO Reserved block 2,GAS,9000000000,9999999999
Icon Distribution Investments Limited and Jemena Networks,ACTEWP,7001000000,7001999999
